1/1,2,10,user78,act0,ask the grip,0.33
1/1,4,5,user30,act1,arrive the moat,0.95
1/1,5,14,user18,act2,fence the judge,0.37
1/1,5,14,user38,act3,save the ear,0.78
1/1,12,18,user25,act4,expand the cockroach,0.58
2/1,0,6,user82,act5,punish the radar,0.46
2/1,1,2,user34,act6,subtract the distribution,0.21
2/1,5,9,user15,act7,obtain the quiver,0.34
2/1,9,13,user66,act8,employ the invoice,0.83
3/1,1,6,user27,act9,fear the refund,0.31
3/1,5,8,user79,act10,place the authorisation,0.8
3/1,5,14,user59,act11,dust the wire,0.9
3/1,6,16,user17,act12,wrap the brother,0.09
3/1,7,12,user30,act13,load the distributor,0.49
3/1,8,10,user35,act14,dam the skill,0.89
3/1,11,21,user11,act15,learn the bottom,0.31
4/1,3,13,user88,act16,carve the radiator,0.51
4/1,7,15,user35,act17,pass the transmission,0.13
4/1,9,16,user6,act18,travel the society,0.45
4/1,12,18,user71,act19,spell the kettle,0.24
5/1,3,5,user61,act20,shrug the currency,0.97
5/1,6,16,user72,act21,store the sandwich,0.15
5/1,11,12,user72,act22,save the scraper,0.44
5/1,12,15,user27,act23,escape the government,0.69
5/1,12,15,user51,act24,marry the baritone,0.93
6/1,0,8,user37,act25,mix the approval,0.92
6/1,1,5,user33,act26,deliver the clave,0.52
6/1,2,10,user93,act27,discover the pike,0.74
6/1,5,13,user5,act28,burn the stomach,0.15
6/1,8,13,user52,act29,remain the tray,0.72
7/1,0,4,user85,act30,muddle the canadian,0.61
7/1,3,12,user49,act31,pump the pendulum,0.67
7/1,4,8,user79,act32,jail the prose,0.81
7/1,4,6,user16,act33,spark the puffin,0.13
7/1,6,13,user55,act34,flow the bite,0.02
7/1,7,9,user57,act35,spell the transmission,0.16
7/1,8,18,user72,act36,kill the chef,0.58
8/1,0,5,user38,act37,shock the sagittarius,0.74
9/1,0,5,user29,act38,bump the airship,0.58
9/1,0,7,user3,act39,fetch the weasel,0.45
9/1,1,5,user84,act40,pour the stretch,0.54
9/1,1,9,user25,act41,exercise the confirmation,0.78
9/1,3,11,user0,act42,colour the dinghy,0.01
9/1,5,6,user32,act43,scratch the flesh,0.43
9/1,5,10,user68,act44,hate the error,0.04
10/1,2,6,user12,act45,gather the magician,0.5
10/1,3,8,user82,act46,train the kimberly,0.14
10/1,6,9,user33,act47,stuff the boat,0.11
10/1,7,12,user35,act48,kick the booklet,0.65
10/1,8,12,user32,act49,frighten the india,0.38
10/1,9,19,user4,act50,bounce the reward,0.83
10/1,11,21,user7,act51,attempt the tune,0.89
10/1,11,21,user70,act52,complete the flood,0.79
10/1,11,15,user25,act53,file the transport,0.41
10/1,12,21,user39,act54,pop the bacon,0.61
10/1,12,14,user26,act55,colour the rock,0.03
11/1,3,7,user16,act56,expand the distributor,0
11/1,4,8,user15,act57,appreciate the anethesiologist,0.71
11/1,5,7,user82,act58,hug the romania,0.19
11/1,6,12,user74,act59,appear the party,0.14
11/1,7,17,user97,act60,crawl the nitrogen,0.27
11/1,8,15,user37,act61,jail the beetle,0.92
11/1,9,10,user20,act62,replace the waiter,0.58
12/1,5,8,user6,act63,paddle the turkish,0.83
12/1,5,6,user22,act64,spell the expert,0.29
12/1,9,19,user60,act65,delay the dime,0.64
12/1,9,10,user40,act66,trap the shirt,0.47
12/1,10,14,user10,act67,launch the xylophone,0.94
12/1,11,17,user99,act68,blot the gate,0.52
12/1,11,19,user62,act69,invent the ukrainian,0.6
12/1,12,17,user88,act70,work the opinion,0.04
13/1,2,3,user92,act71,cure the macrame,0.38
13/1,5,10,user56,act72,preach the dinghy,0.61
13/1,8,12,user35,act73,type the story,0.91
13/1,8,13,user87,act74,sip the blue,0.42
13/1,9,18,user14,act75,suppose the women,0.51
13/1,12,16,user32,act76,compete the plain,0.14
14/1,6,8,user58,act77,tempt the archer,0.58
14/1,6,10,user22,act78,turn the promotion,0.42
14/1,9,15,user19,act79,scorch the gas,0.48
14/1,9,10,user90,act80,help the copyright,0.47
14/1,12,19,user82,act81,fit the room,0.54
14/1,12,21,user33,act82,sign the view,0.49
14/1,12,21,user46,act83,wriggle the cardboard,0.64
15/1,0,5,user40,act84,cause the suggestion,0.1
15/1,1,10,user99,act85,shiver the ostrich,0.39
15/1,2,6,user4,act86,look the teeth,0.42
15/1,4,12,user94,act87,turn the twilight,0.11
15/1,10,14,user67,act88,knit the pillow,0.97
15/1,10,17,user40,act89,appreciate the veterinarian,0.2
16/1,1,7,user42,act90,bathe the abyssinian,0.7
16/1,8,14,user4,act91,press the cauliflower,0.23
16/1,8,16,user91,act92,occur the minute,0.58
16/1,9,16,user28,act93,tow the mom,0.72
17/1,1,4,user89,act94,alert the octave,0.54
17/1,7,13,user49,act95,spill the pendulum,0.38
18/1,0,5,user37,act96,unpack the pyramid,0.39
